Follower_ID,Run_Index,T,a,b,v0,so,delta,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,Duration,source
62,8,1.749301039,1.143412842,1.142851318,35.07398074,3.707292299,4.555240789,17657.17735,29.2667053,5.409871098,4.593438438,inf,0.006691056,112501.2152,0.998626309,17657.17735,384.3,I294l1
12,1,0.885702158,1.987858785,2.210689192,31.33285699,2.223751474,3.986709297,5091.123595,14.19518044,3.767649193,3.168091845,0.278509901,0.012956521,22811.65497,0.993124174,5091.123595,160.6,I294l1
22,11,1.017026772,0.964714,0.971598496,31.888974,3.626918136,4.336081044,1441.019035,1.799268215,1.341368039,1.156516079,0.350701113,0.007268589,2241.888196,0.994727052,1441.019035,124.5,I294l1
3,7,2.795806462,0.105236839,2.487013537,26.54848239,4.003099214,3.190586528,2326.335492,41.81103174,6.466145045,5.904404801,1.231557554,0.07745743,16473.54651,0.839289366,2326.335492,39.3,I294l1
59,18,0.953637945,2.801309982,2.630425028,35.50911227,4.84879339,4.668049779,3199.133736,10.0405951,3.168689808,2.359243168,0.884010297,0.013139751,13615.04696,0.994129353,3199.133736,135.5,I294l1
30,9,1.011893179,0.97283124,3.536640017,31.66126748,3.745460911,3.60894037,9199.249834,80.42522871,8.968011413,6.749266203,0.771978441,0.01773737,109619.5867,0.98948518,9199.249834,136.2,I294l1
41,3,1.00072839,1.503814968,2.391994964,34.23282418,3.539844585,3.930627252,1600.129051,9.614678527,3.100754509,2.480820234,0.508725099,0.021872286,6201.46765,0.979712516,1600.129051,64.4,I294l1
17,21,0.754699695,0.608909583,2.568198125,30.6447231,4.438398069,4.414513333,7025.367895,34.25383417,5.852677521,4.579770466,0.623535018,0.012576916,52545.38161,0.993942134,7025.367895,153.3,I294l1
35,11,1.31930417,2.615952246,2.563655974,34.7611202,5.310006876,4.960953036,6830.238137,44.79469496,6.692883905,6.289353717,1.557891323,0.015126346,48647.03873,0.991188941,6830.238137,108.5,I294l1
25,19,1.026270676,1.519535331,1.275115719,34.11596117,2.361227945,3.889088873,2666.548034,4.048978857,2.012207459,1.804159699,0.374136904,0.016739801,5984.390751,0.984985034,2666.548034,147.7,I294l1
48,20,0.880549432,0.139610245,2.152163715,23.6624366,4.330697518,4.50060212,9537.661136,256.2431172,16.00759561,14.15083255,1.15450543,0.064076097,172707.861,0.719520703,9537.661136,67.3,I294l1
18,19,0.795590034,0.714739665,2.783478951,29.19317665,0.711462156,3.804143942,2708.660658,6.978258065,2.641639276,2.307206693,0.621602179,0.02321511,8192.474969,0.963536983,2708.660658,117.3,I294l1
56,18,1.514683834,1.987762906,0.644652153,34.14470299,5.08501146,4.851419064,8873.231311,81.45912357,9.025470823,6.462659367,1.643323888,0.014717169,111843.3767,0.992278522,8873.231311,137.2,I294l1
9,1,1.043795018,0.523257188,2.160947461,34.89058609,1.633072742,4.366423399,2662.579615,4.178594875,2.044161167,1.777422974,0.190201733,0.010147251,6259.535122,0.995798319,2662.579615,149.7,I294l1
19,11,1.508077014,0.728680793,1.936049803,34.38287535,4.452222833,4.261122185,484.916728,1.234950886,1.111283441,0.948956415,0.407425945,0.006258583,631.0599028,0.998637724,484.916728,51.0,I294l1
65,8,1.620242999,2.720162216,1.592737232,32.6877766,4.979616349,4.486589933,13435.46282,15.01850749,3.875371917,3.495177634,inf,0.00545298,57731.1428,0.999159862,13435.46282,384.3,I294l1
64,18,0.982134016,0.959041643,3.163192806,34.0327329,1.721622385,4.232929645,4660.521652,27.11539596,5.207244565,3.845314895,0.905385719,0.017408568,32863.8599,0.98476766,4660.521652,121.1,I294l1
54,20,0.850017642,1.013055805,3.328884771,32.29377484,2.629288133,4.018118852,3394.414954,6.637294422,2.576294708,2.13888781,0.47897167,0.019080832,10533.38625,0.97639228,3394.414954,158.6,I294l1
17,7,0.917398565,3.882110912,3.092466411,32.51394148,3.853029619,3.802250613,2434.551102,21.42796211,4.629034685,3.733974083,0.703038381,0.028660035,13971.0313,0.933383797,2434.551102,65.1,I294l1
8,1,1.024961186,0.679493386,1.679284248,35.11034661,3.257585284,4.228232352,3777.256078,8.326522498,2.885571433,2.521532763,0.257642237,0.012682574,12473.1307,0.993859502,3777.256078,149.7,I294l1
51,8,1.548584932,1.152740437,2.215044041,33.89434967,6.198277982,4.258255858,6319.414326,6.989653641,2.64379531,2.39009619,inf,0.006494455,18480.64423,0.998761384,6319.414326,264.3,I294l1
19,19,1.181788347,1.816817893,3.602189954,34.50933492,1.673010958,3.948977359,2216.890711,8.579016919,2.928995889,2.667738521,0.479337363,0.021827801,7129.163059,0.980400548,2216.890711,83.0,I294l1
