Follower_ID,Run_Index,Tmax,Alpha,Beta,Wc,Gamma1,Gamma2,Wm,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,Duration,source,Gamma
62,8,2.629586818,0.248078273,2.33558818,89309.50452,0.367645127,0.588975504,6.223863275,43280.17834,267.3389736,16.35050377,11.25915149,inf,0.026281512,1027651.015,0.977183388,43280.17834,384.3,I294l1,0.4783103155
12,1,6.701600254,0.696422214,4.860714174,114266.4302,1.888974547,1.801676311,5.673778017,16738.91601,135.5179021,11.64121566,10.41625141,0.755760591,0.030052542,217777.2687,0.964147183,16738.91601,160.6,I294l1,1.8453254289999999
22,11,5.159524813,0.491756393,6.110132512,125326.1165,1.963780193,1.703203369,3.768797747,20639.36058,502.3255329,22.41261995,16.56449485,1.593278096,0.025339225,625897.614,0.956154311,20639.36058,124.5,I294l1,1.833491781
3,7,4.314094791,0.367238339,7.063609251,129698.4369,2.039786866,1.354908544,7.813632131,1142.47167,15.64022821,3.95477284,2.899674289,0.68168533,0.046568278,6162.249917,0.942027389,1142.47167,39.3,I294l1,1.6973477049999999
59,18,7.32733003,0.728852998,7.185670193,67440.078,1.991122303,1.528506902,1.981225012,10462.15142,90.84974688,9.531513357,7.715450899,1.30955622,0.016878496,123192.2568,0.991700107,10462.15142,135.5,I294l1,1.7598146025
30,9,4.972632277,0.34818084,4.98934306,61612.89655,1.999305863,1.573185041,4.045847483,32922.20262,709.4763293,26.63599687,24.15422056,1.70257683,0.035039645,967016.2369,0.962927286,32922.20262,136.2,I294l1,1.786245452
41,3,7.299812019,0.331129841,4.290505807,125125.9767,2.025139348,1.829349264,4.64216555,3774.592725,47.0843535,6.861803954,5.852081745,0.94474329,0.042409647,30369.40801,0.924943084,3774.592725,64.4,I294l1,1.927244306
17,21,2.338445314,0.255480917,4.036411843,62908.82094,0.284962615,0.701179135,2.258301804,65884.10478,2039.410008,45.15982736,42.94922084,5.000070574,0.087879139,3128454.952,0.709652533,65884.10478,153.3,I294l1,0.49307087499999996
35,11,5.032985048,0.05749468,2.126726111,79212.24963,1.889737715,1.717562232,4.929933065,19777.04521,543.5248029,23.3136184,18.21090719,2.72040204,0.029598765,590267.936,0.97425203,19777.04521,108.5,I294l1,1.8036499735
25,19,4.005229983,0.366809325,6.704870284,88637.98851,1.973603091,1.670587566,5.528035682,17132.84499,170.2450985,13.04780052,11.59191136,1.221172699,0.049150093,251622.2555,0.877245605,17132.84499,147.7,I294l1,1.8220953285
48,20,5.882201383,0.404172356,3.394145609,66940.32427,1.811132334,1.850602687,5.148962078,4624.963277,64.53435504,8.033327769,6.861963319,0.906938702,0.054099325,43496.1553,0.782581718,4624.963277,67.3,I294l1,1.8308675105
18,19,4.295568563,0.706503318,5.718142009,86327.73667,1.570473133,2.079553363,3.629661368,31871.78334,1342.787058,36.64405897,27.14802669,2.445841962,0.067842479,1576432.006,0.745764198,31871.78334,117.3,I294l1,1.8250132479999999
56,18,7.359719865,0.467490478,7.491955927,91981.10511,1.738491726,1.803756264,4.307265637,14472.79491,181.0279351,13.45466221,10.54100139,1.332786645,0.015280142,248551.3549,0.992709843,14472.79491,137.2,I294l1,1.771123995
9,1,7.449817438,0.641670457,4.899592384,64604.52067,0.55479161,1.981872398,3.50518225,3025.754665,5.043443905,2.24576132,2.019862927,0.353867462,0.019809592,7555.07897,0.983491943,3025.754665,149.7,I294l1,1.268332004
19,11,2.386839595,0.252712391,6.978068156,120387.383,0.54138129,0.436494443,7.615685877,5623.418129,140.9664087,11.87292755,11.00473215,2.682942479,0.04408272,72033.83483,0.941114961,5623.418129,51.0,I294l1,0.48893786650000004
65,8,1.649575944,0.274608763,6.329663435,73359.5177,0.617365385,0.556506896,6.423461088,16299.85045,21.83691281,4.672998268,4.240335704,inf,0.01120231,83941.09285,0.996024466,16299.85045,384.3,I294l1,0.5869361405
