Follower_ID,Run_Index,Tmax,Alpha,Beta,Wc,Gamma1,Gamma2,Wm,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,Duration,source,Gamma
101,8,2.852613471,0.362092057,4.654990727,115189.5647,0.424931321,0.831178222,4.41980124,22953.86566,87.30537487,9.343734525,8.031443548,inf,0.021160844,249518.7614,0.983911347,22953.86566,285.7,I294l1,0.628054771
24,1,4.177879677,0.086788443,6.074010688,98479.08506,1.802659374,1.896417929,5.979717123,13828.59953,111.197428,10.54501911,8.583860665,1.135984245,0.04972052,179139.0564,0.841074379,13828.59953,161,I294l1,1.849538651
21,11,4.500941144,0.291832366,5.206790209,89226.54598,1.953777557,1.651111813,7.878968243,13775.71432,251.7401466,15.86632114,10.9766648,2.286661748,0.044636185,315933.884,0.947001952,13775.71432,125.4,I294l1,1.802444685
374,9,2.574489481,0.170703596,7.364760238,76697.18382,1.426717272,1.440865965,5.97200898,7345.176758,508.8970572,22.5587468,18.54842616,3.914679465,0.145011193,201523.2346,-0.192494571,7345.176758,39.5,I294l1,1.433791619
539,8,2.891754097,0.299499894,5.822157038,79183.37876,0.800593747,0.993143888,3.264016496,14094.27749,156.1405775,12.49562233,10.37106511,inf,0.045439045,212195.0448,0.967390042,14094.27749,135.8,I294l1,0.896868817
539,8,2.891754097,0.299499894,5.822157038,79183.37876,0.800593747,0.993143888,3.264016496,14094.27749,156.1405775,12.49562233,10.37106511,inf,0.045439045,212195.0448,0.967390042,14094.27749,135.8,I294l1,0.896868817
1485,8,4.023426319,0.548753169,6.032590146,118895.8432,0.279673586,0.872632582,3.770321977,2548.099859,18.46129151,4.296660507,3.938330539,inf,0.090231901,11944.45561,0.69610252,2548.099859,64.6,I294l1,0.576153084
24,1,4.177879677,0.086788443,6.074010688,98479.08506,1.802659374,1.896417929,5.979717123,13828.59953,111.197428,10.54501911,8.583860665,1.135984245,0.04972052,179139.0564,0.841074379,13828.59953,161,I294l1,1.849538651
2848,8,2.410605648,0.390775413,7.907842873,71392.04524,0.42552167,0.954170435,3.195633265,14421.98373,232.1888698,15.23774491,12.98108347,inf,0.033617365,257961.8344,0.984026069,14421.98373,111,I294l1,0.689846052
12,11,3.178754111,0.171786472,3.9684668,100892.7285,1.991671557,1.58665183,3.04122565,14369.90999,144.2537482,12.01056819,9.883019252,1.612196324,0.048403972,209744.9499,0.742091424,14369.90999,145.3,I294l1,1.789161693
946,18,7.229276435,0.53639381,5.981546264,100819.2209,1.10164937,1.454021721,2.741621924,6425.844556,110.8504019,10.52855175,9.576519457,3.39354339,0.086062485,74380.61971,0.720749644,6425.844556,67,I294l1,1.277835546
1919,8,4.1819123,0.438606819,3.912799769,71911.32725,0.507443694,0.92566967,4.66069435,6681.026783,49.63621135,7.045297109,5.720057177,inf,0.034536776,57975.09486,0.95991902,6681.026783,116.7,I294l1,0.716556682
1620,8,3.76140027,0.383713558,4.974670105,92511.4055,0.499769069,0.93198284,7.982276812,10087.62887,68.29921647,8.264334,7.352499175,inf,0.042471882,93706.52499,0.944434415,10087.62887,137.1,I294l1,0.715875954
12,11,3.178754111,0.171786472,3.9684668,100892.7285,1.991671557,1.58665183,3.04122565,14369.90999,144.2537482,12.01056819,9.883019252,1.612196324,0.048403972,209744.9499,0.742091424,14369.90999,145.3,I294l1,1.789161693
55,3,2.710609654,0.345153754,5.233517014,126047.3482,0.620644685,1.516686937,2.021626001,5801.372225,200.5715242,14.16232764,11.35297891,1.455077801,0.06633347,102492.0489,0.861899816,5801.372225,51,I294l1,1.068665811
101,8,2.852613471,0.362092057,4.654990727,115189.5647,0.424931321,0.831178222,4.41980124,22953.86566,87.30537487,9.343734525,8.031443548,inf,0.021160844,249518.7614,0.983911347,22953.86566,285.7,I294l1,0.628054771
44,9,2.68096273,0.375172768,5.110910141,108373.9369,0.60919193,0.487503947,2.642045543,36925.04784,1567.31445,39.58932242,30.64319323,3.055910776,0.067112192,1888613.912,0.836629675,36925.04784,120.4,I294l1,0.548347938
24,1,4.177879677,0.086788443,6.074010688,98479.08506,1.802659374,1.896417929,5.979717123,13828.59953,111.197428,10.54501911,8.583860665,1.135984245,0.04972052,179139.0564,0.841074379,13828.59953,161,I294l1,1.849538651
25,11,4.118855274,0.24508704,3.452758392,80415.31261,1.809001747,1.800335735,2.463836666,3832.882433,51.75216605,7.193897834,5.896742204,2.359654744,0.050421485,33638.90793,0.902528177,3832.882433,64.9,I294l1,1.804668741
12,11,3.178754111,0.171786472,3.9684668,100892.7285,1.991671557,1.58665183,3.04122565,14369.90999,144.2537482,12.01056819,9.883019252,1.612196324,0.048403972,209744.9499,0.742091424,14369.90999,145.3,I294l1,1.789161693
93,8,2.201999433,0.33862802,4.737820456,70324.29236,0.138602643,0.819384313,2.785901831,21559.58757,84.62889481,9.199396437,8.166510443,inf,0.025131863,223420.2823,0.971813203,21559.58757,263.9,I294l1,0.478993478
1789,18,2.669072699,0.296408277,4.074057863,63056.46198,0.567661856,0.815653868,5.776574386,4559.091381,45.03566975,6.710862072,5.459989677,1.880152929,0.034889072,37604.78424,0.946947914,4559.091381,83.4,I294l1,0.691657862
3147,8,4.14290926,0.466410635,3.978655105,93242.4016,0.704707774,0.408953163,6.321762712,4860.58453,65.19435363,8.074302052,6.963588151,7.09496796,0.043455888,45505.65883,0.95206036,4860.58453,69.7,I294l1,0.556830469
12,11,3.178754111,0.171786472,3.9684668,100892.7285,1.991671557,1.58665183,3.04122565,14369.90999,144.2537482,12.01056819,9.883019252,1.612196324,0.048403972,209744.9499,0.742091424,14369.90999,145.3,I294l1,1.789161693
946,18,7.229276435,0.53639381,5.981546264,100819.2209,1.10164937,1.454021721,2.741621924,6425.844556,110.8504019,10.52855175,9.576519457,3.39354339,0.086062485,74380.61971,0.720749644,6425.844556,67,I294l1,1.277835546
